A,A,ARMOR MINERALS INC,"['alpha', 'amex', 'mexi', 'nyse']","['CAD', 'USD', 'MXN', 'USD']"
AA,AA,ALBA MINERALS LTD,"['alpha', 'amex', 'nyse']","['CAD', 'USD', 'USD']"
AAN,AAN,ATON RESOURCES INC,"['alpha', 'amex', 'nyse']","['CAD', 'USD', 'USD']"
AAT,AAT,ATI AIRTEST TECHNOLOGIES INC.,"['alpha', 'amex', 'nyse']","['CAD', 'USD', 'USD']"
ABC,ABC,AMERICAN BATTERY METALS CORP,"['alpha', 'amex', 'asx', 'lse', 'nyse']","['CAD', 'USD', 'AUD', 'GBP', 'USD']"
ABM,ABM,ATHABASCA MINERALS INC,"['alpha', 'amex', 'lse', 'nyse']","['CAD', 'USD', 'GBP', 'USD']"
ABR,ABR,ARBOR METALS CORP,"['alpha', 'amex', 'asx', 'fwb', 'nyse']","['CAD', 'USD', 'AUD', 'EUR', 'USD']"
ABT,ABT,ABSOLUTE SOFTWARE CORPORATIO,"['alpha', 'amex', 'asx', 'mexi', 'nyse']","['CAD', 'USD', 'AUD', 'MXN', 'USD']"
AC,AC,AIR CANADA,"['alpha', 'amex', 'fwb', 'mexi', 'nyse']","['CAD', 'USD', 'EUR', 'MXN', 'USD']"
ACB,ACB,AURORA CANNABIS INC,"['alpha', 'amex', 'asx', 'nyse']","['CAD', 'USD', 'AUD', 'USD']"
ACES,ACES,SEVEN ACES LTD,"['alpha', 'amex', 'nyse']","['CAD', 'USD', 'USD']"
ACP,ACP,ARCPACIFIC RESOURCES CORP,"['alpha', 'amex', 'asx', 'nyse']","['CAD', 'USD', 'AUD', 'USD']"
ACU,ACU,AURORA SOLAR TECHNOLOGIES IN,"['alpha', 'amex', 'nyse']","['CAD', 'USD', 'USD']"
AEF,AEF,ACASTA ENTERPRISES INC-B,"['alpha', 'amex', 'asx', 'fwb', 'nyse']","['CAD', 'USD', 'AUD', 'EUR', 'USD']"
AEM,AEM,AGNICO EAGLE MINES LTD,"['alpha', 'amex', 'nyse']","['CAD', 'USD', 'USD']"
AEP,AEP,ATLAS ENGINEERED PRODUCTS LT,"['alpha', 'amex', 'fwb', 'lse', 'mexi', 'nyse']","['CAD', 'USD', 'EUR', 'GBP', 'MXN', 'USD']"
AER,AER,ALTERNATIVE EARTH RESOURCES,"['alpha', 'amex', 'asx', 'nyse']","['CAD', 'USD', 'AUD', 'USD']"
AGD,AGD,ANTIOQUIA GOLD INC,"['alpha', 'amex', 'asx', 'nyse']","['CAD', 'USD', 'AUD', 'USD']"
AGG,AGG,AFRICAN GOLD GROUP INC,"['alpha', 'amex', 'asx', 'nyse']","['CAD', 'USD', 'AUD', 'USD']"
AGI,AGI,ALAMOS GOLD INC-CLASS A,"['alpha', 'amex', 'asx', 'nyse']","['CAD', 'USD', 'AUD', 'USD']"
AGO,AGO,AURCREST GOLD INC,"['alpha', 'amex', 'nyse']","['CAD', 'USD', 'USD']"
AI,AI,ATRIUM MORTGAGE INVESTMENT C,"['alpha', 'amex', 'fwb', 'nyse']","['CAD', 'USD', 'EUR', 'USD']"
AIF,AIF,ALTUS GROUP LTD,"['alpha', 'amex', 'lse', 'nyse']","['CAD', 'USD', 'GBP', 'USD']"
AIM,AIM,AIMIA INC,"['alpha', 'amex', 'nyse']","['CAD', 'USD', 'USD']"
