A,ARMOR MINERALS INC,A,CAD
AA,ALBA MINERALS LTD,AA,CAD
AAAA,AURALITE INVESTMENTS INC,AAAA,CAD
AAB,ABERDEEN INTERNATIONAL INC.,AAB,CAD
AAG,AFTERMATH SILVER LTD,AAG,CAD
AAJC.P,AAJ CAPITAL 2 CORP,AAJC.P,CAD
AAL,ADVANTAGE LITHIUM CORP,AAL,CAD
AAN,ATON RESOURCES INC,AAN,CAD
AAT,ATI AIRTEST TECHNOLOGIES INC.,AAT,CAD
AAV,ADVANTAGE OIL &amp; GAS LTD,AAV,CAD
AAX,ADVANCE GOLD CORP,AAX,CAD
AAZ,AZINCOURT ENERGY CORP,AAZ,CAD
AB.H,ASBESTOS CORP LTD,AB.H,CAD
ABC,AMERICAN BATTERY METALS CORP,ABC,CAD
ABI,ABCOURT MINES INC -CL B,ABI,CAD
ABM,ATHABASCA MINERALS INC,ABM,CAD
ABN,ABEN RESOURCES LTD,ABN,CAD
ABR,ARBOR METALS CORP,ABR,CAD
ABRA,ABRAPLATA RESOURCE CORP,ABRA,CAD
ABS.H,AMERICAN BIOFUELS INC,ABS.H,CAD
ABT,ABSOLUTE SOFTWARE CORPORATIO,ABT,CAD
ABX,BARRICK GOLD CORP,ABX,CAD
ABZ,ASIABASEMETALS INC,ABZ,CAD
AC,AIR CANADA,AC,CAD
ACB,AURORA CANNABIS INC,ACB,CAD
ACC.P,ABIGAIL CAPITAL CORP,ACC.P,CAD
ACD,ACCORD FINANCIAL CORP,ACD,CAD
ACE.H,ACE AVIATION HOLDINGS INC,ACE.H,CAD
ACES,SEVEN ACES LTD,ACES,CAD
ACI,ALTAGAS CANADA INC,ACI,CAD
ACO.X,ATCO LTD -CLASS I,ACO.X,CAD
ACO.Y,ATCO LTD -CL 'II',ACO.Y,CAD
ACP,ARCPACIFIC RESOURCES CORP,ACP,CAD
ACQ,AUTOCANADA INC,ACQ,CAD
ACRG.U,ACREAGE HOLDINGS INC-SUB,ACRG.U,USD
ACS,ARCHON MINERALS LTD.,ACS,CAD
ACST,ACASTI PHARMA INC,ACST,CAD
ACU,AURORA SOLAR TECHNOLOGIES IN,ACU,CAD
ACZ,MIDDLEFIELD AMERICAN CORE DI,ACZ,CAD
AD,ALARIS ROYALTY CORP,AD,CAD
ADCO,ADCORE INC,ADCO,CAD
ADD,ARCTIC STAR EXPLORATION CORP,ADD,CAD
ADE,ADEX MINING INC,ADE,CAD
ADG,ARCUS DEVELOPMENT GROUP INC,ADG,CAD
ADK,DIAGNOS INC,ADK,CAD
ADN,ACADIAN TIMBER CORP,ADN,CAD
ADR.H,ARCLAND RESOURCES INC,ADR.H,CAD
ADVZ,ADVANZ PHARMA CORP,ADVZ,CAD
ADW.A,ANDREW PELLER LTD -A,ADW.A,CAD
ADW.B,ANDREW PELLER LTD -B,ADW.B,CAD
ADYA,ADYA INC,ADYA,CAD
ADZ,ADAMERA MINERALS CORP,ADZ,CAD
ADZN,ADVENTUS MINING CORP,ADZN,CAD
AEC,ANFIELD ENERGY INC,AEC,CAD
AEF,ACASTA ENTERPRISES INC-B,AEF,CAD
AEL.H,AMSECO EXPLORATION LTD ,AEL.H,CAD
AEM,AGNICO EAGLE MINES LTD,AEM,CAD
AEP,ATLAS ENGINEERED PRODUCTS LT,AEP,CAD
AER,ALTERNATIVE EARTH RESOURCES,AER,CAD
AET,AETHON MINERALS CORP,AET,CAD
AEX,AEX GOLD INC,AEX,CAD
AEZS,AETERNA ZENTARIS INC,AEZS,CAD
AFC.P,AF1 CAPITAL CORP,AFC.P,CAD
AFCC,AUTOMOTIVE FINCO CORP,AFCC,CAD
AFE,AFRICA ENERGY CORP,AFE,CAD
AFF,AFFINITY METALS CORP,AFF,CAD
AFM,ALPHAMIN RESOURCES CORP,AFM,CAD
AFN,AG GROWTH INTERNATIONAL INC,AFN,CAD
AGC,AMARILLO GOLD CORP,AGC,CAD
AGD,ANTIOQUIA GOLD INC,AGD,CAD
AGF.B,AGF MANAGEMENT LTD-CLASS B,AGF.B,CAD
AGG,AFRICAN GOLD GROUP INC,AGG,CAD
AGH.H,CANADIAN SILVER HUNTER,AGH.H,CAD
AGI,ALAMOS GOLD INC-CLASS A,AGI,CAD
AGI.WT,ALAMOS GOLD INC -CW18 08/30/2018,AGI.WT,CAD
AGL,AGUILA AMERICAN GOLD LTD,AGL,CAD
AGLD,AUSTRAL GOLD LTD,AGLD,CAD
AGO,AURCREST GOLD INC,AGO,CAD
AHE,AMERICAN HELIUM INC,AHE,CAD
AHP,ALLIED HOTEL PROPERTIES INC.,AHP,CAD
AHR,AMARC RESOURCES LTD,AHR,CAD
AHU,ARCTIC HUNTER ENERGY INC,AHU,CAD
AHY.UN,ADVANTAGED CANADIAN HIGH YIE,AHY.UN,CAD
AI,ATRIUM MORTGAGE INVESTMENT C,AI,CAD
AIF,ALTUS GROUP LTD,AIF,CAD
AII,ALMONTY INDUSTRIES INC,AII,CAD
AIII.P,APOLO III ACQUISITION CORP,AIII.P,CAD
AIIM,WINDFALL GEOTEK INC,AIIM,CAD
AIM,AIMIA INC,AIM,CAD
AIM.PR.A,GROUPE AEROPLAN INC CUM PFD SER 1,AIM.PR.A,CAD
AIM.PR.B,AIMIA INC,AIM.PR.B,CAD
AIM.PR.C,AIMIA INC,AIM.PR.C,CAD
AIMC.P,AIM3 VENTURES INC,AIMC.P,CAD
AIMD.P,AIM4 VENTURES INC,AIMD.P,CAD
AIS,A.I.S. RESOURCES LTD,AIS,CAD
AJX,AGJUNCTION INC,AJX,CAD
AKG,ASANKO GOLD INC,AKG,CAD
AKH.H,ALASKA HYDRO CORP,AKH.H,CAD
AKR,ACKROO INC,AKR,CAD
AKT.A,AKITA DRILLING LTD-CL A,AKT.A,CAD
AKT.B,AKITA DRILLING LTD-CL B,AKT.B,CAD
AKU.U,AKUMIN INC,AKU.U,USD
AL,ALX URANIUM CORP,AL,CAD
ALA,ALTAGAS LTD,ALA,CAD
ALA.PR.A,ALTAGAS LTD,ALA.PR.A,CAD
ALA.PR.B,ALTAGAS LTD,ALA.PR.B,CAD
ALA.PR.E,ALTAGAS LTD,ALA.PR.E,CAD
ALA.PR.G,ALTAGAS LTD,ALA.PR.G,CAD
ALA.PR.H,ALTAGAS LTD,ALA.PR.H,CAD
ALA.PR.I,ALTAGAS LTD,ALA.PR.I,CAD
ALA.PR.K,ALTAGAS LTD,ALA.PR.K,CAD
ALA.PR.U,ALTAGAS LTD,ALA.PR.U,USD
ALAB.P,A-LABS CAPITAL II CORP,ALAB.P,CAD
ALB,ALLBANC SPLIT CORP II,ALB,CAD
ALB.PR.C,ALLBANC SPLIT CORP,ALB.PR.C,CAD
ALBS.P,A-LABS CAPITAL I CORP,ALBS.P,CAD
ALC,ALGOMA CENTRAL CORP,ALC,CAD
ALCC.P,A-LABS CAPITAL IV CORP,ALCC.P,CAD
ALD,ALDEVER RESOURCES INC,ALD,CAD
ALDE,ALDEBARAN RESOURCES INC,ALDE,CAD
ALEF,ALEAFIA HEALTH INC,ALEF,CAD
ALFA,ACCELERATE PRIVATE EQUITY AL,ALFA,CAD
ALG,ALGOLD RESOURCES LTD,ALG,CAD
ALLI,ALPHA LITHIUM CORP,ALLI,CAD
ALM,ALLIANCE MINING CORP,ALM,CAD
ALO,ALIO GOLD INC,ALO,CAD
ALS,ALTIUS MINERALS CORP.,ALS,CAD
ALT,ALTURAS MINERALS CORP,ALT,CAD
ALTA,ALTAMIRA GOLD CORP,ALTA,CAD
ALTS,ALTUS STRATEGIES PLC,ALTS,CAD
ALV,ALVOPETRO ENERGY LTD,ALV,CAD
ALY,ANALYTIXINSIGHT INC,ALY,CAD
ALYA,ALITHYA GROUP INC-CLASS A,ALYA,CAD
AM,ACADEMY METALS INC,AM,CAD
AMC,ARIZONA METALS CORP,AMC,CAD
AME,ABACUS MINING &amp; EXPLORATION,AME,CAD
AMK,AMERICAN CREEK RESOURCES LTD,AMK,CAD
AMM,ALMADEN MINERALS LTD - B,AMM,CAD
AMO.H,ALTAN RIO MINERALS LTD,AMO.H,CAD
AMR,AM RESOURCES CORP,AMR,CAD
AMW.P,AMWOLF CAPITAL CORP,AMW.P,CAD
AMX,AMEX EXPLORATION INC,AMX,CAD
AMY,AMERICAN MANGANESE INC,AMY,CAD
AMZ,AZUCAR MINERALS LTD,AMZ,CAD
AN,ARENA MINERALS INC,AN,CAD
ANB.H,ANGLO-BOMARC MINES LTD,ANB.H,CAD
ANE,ALTAN NEVADA MINERALS LTD,ANE,CAD
ANG,ANGEL GOLD CORP,ANG,CAD
ANK,ANGKOR RESOURCES CORP,ANK,CAD
ANL.H,ATLANTIC INDUS MINERALS INC,ANL.H,CAD
ANTI.P,ANTERA VENTURES I CORP,ANTI.P,CAD
ANTL,ANTLER GOLD INC,ANTL,CAD
ANX,ANACONDA MINING INC,ANX,CAD
ANZ,ALIANZA MINERALS LTD,ANZ,CAD
AOI,AFRICA OIL CORP,AOI,CAD
AORO,ALORO MINING CORP,AORO,CAD
AOT,ASCOT RESOURCES LTD.,AOT,CAD
AP.UN,ALLIED PROPERTIES REAL ESTAT,AP.UN,CAD
APC,ADVANCED PROTEOME THERAPEUTI,APC,CAD
APHA,APHRIA INC,APHA,CAD
APII.P,APOLO II ACQUISITION CORP,APII.P,CAD
APL,APPULSE CORPORATION,APL,CAD
APLI,APPILI THERAPEUTICS INC-CL A,APLI,CAD
APN,ALTIPLANO METALS INC,APN,CAD
APR.UN,AUTOMOTIVE PROPERTIES REAL E,APR.UN,CAD
APS,APTOSE BIOSCIENCES INC,APS,CAD
APX,APEX RESOURCES INC,APX,CAD
APY,ANGLO PACIFIC GROUP PLC,APY,CAD
AQA,AQUILA RESOURCES INC,AQA,CAD
AQN,ALGONQUIN POWER &amp; UTILITIES,AQN,CAD
AQN.PR.A,ALGONQUIN PWR &amp; UTILITY,AQN.PR.A,CAD
AQN.PR.D,ALGONQUIN PWR &amp; UTILITY,AQN.PR.D,CAD
AQR.P,ANQUIRO VENTURES LTD,AQR.P,CAD
AQS,AEQUUS PHARMACEUTICALS INC,AQS,CAD
AQY.A,ALIGNVEST ACQUISITION II C-A,AQY.A,CAD
AR,ARGONAUT GOLD INC,AR,CAD
ARA,ANCONIA RESOURCES CORP,ARA,CAD
ARCH,ARCH BIOPARTNERS INC,ARCH,CAD
ARD,ARMADA DATA CORPORATION,ARD,CAD
ARE,AECON GROUP INC,ARE,CAD
ARG,AMERIGO RESOURCES LTD,ARG,CAD
ARH,ALTIMA RESOURCES LTD,ARH,CAD
ARIC,AWALE RESOURCES LTD,ARIC,CAD
ART,ARHT MEDIA INC,ART,CAD
ARTG,ARTEMIS GOLD INC,ARTG,CAD
ARU,AURANIA RESOURCES LTD,ARU,CAD
ARX,ARC RESOURCES LTD,ARX,CAD
ASG,AURORA SPINE CORP,ASG,CAD
ASI,ASHANTI SANKOFA INC,ASI,CAD
ASL,ARGENTUM SILVER CORP,ASL,CAD
ASM,AVINO SILVER &amp; GOLD MINES,ASM,CAD
ASN,ASIAN MINERAL RESOURCES LTD,ASN,CAD
ASND,ASCENDANT RESOURCES INC,ASND,CAD
ASO,AVESORO RESOURCES INC,ASO,CAD
ASP,ACERUS PHARMACEUTICALS CORP,ASP,CAD
ASQ,ASTORIUS RESOURCES LTD,ASQ,CAD
ASR,ALACER GOLD CORP,ASR,CAD
AST,ASTRON CONNECT INC,AST,CAD
ASTN.P,AUSTON CAPITAL CORP,ASTN.P,CAD
AT,ACUITYADS HOLDING INC,AT,CAD
ATA,ATS AUTOMATION TOOLING SYS,ATA,CAD
ATC,ATAC RESOURCES LTD.,ATC,CAD
ATD.A,ALIMENTATION COUCHE-TARD INC,ATD.A,CAD
ATD.B,ALIMENTATION COUCHE-TARD -B,ATD.B,CAD
ATE,ANTIBE THERAPEUTICS INC,ATE,CAD
ATH,ATHABASCA OIL CORP,ATH,CAD
ATI,ALTAI RESOURCES INC,ATI,CAD
ATP,ATLANTIC POWER CORP,ATP,CAD
ATSX,ACCELERATE ENHANCED CANADIAN,ATSX,CAD
ATU,ALTURA ENERGY INC,ATU,CAD
ATV,ALTO VENTURES LTD.,ATV,CAD
ATW,ATW TECH INC,ATW,CAD
ATX,ATEX RESOURCES INC,ATX,CAD
ATY,ATICO MINING CORP,ATY,CAD
ATZ,ARITZIA INC-SUBORDINATE VOTI,ATZ,CAD
AU,AURION RESOURCES LTD,AU,CAD
AUAU,ALLEGIANT GOLD LTD,AUAU,CAD
AUG,AURYN RESOURCES INC,AUG,CAD
AUGB.F,FIRST TRUST CBOE VEST US EQ,AUGB.F,CAD
AUL,AURELIUS MINERALS INC,AUL,CAD
AUMB,1911 GOLD CORP,AUMB,CAD
AUMN,GOLDEN MINERALS CO,AUMN,CAD
AUN,AURCANA CORPORATION,AUN,CAD
AUOC.P,AUMENTO CAPITAL VII CORP,AUOC.P,CAD
AUP,AURINIA PHARMACEUTICALS INC,AUP,CAD
AUR.H,AURORA ROYALTIES INC,AUR.H,CAD
AURX,AUREX ENERGY CORP,AURX,CAD
AUT,AUSTIN RESOURCES LTD,AUT,CAD
AUU,AURA RESOURCES INC,AUU,CAD
AUX,AURAMEX RESOURCE CORP,AUX,CAD
AVC.P,ALPHANCO VENTURE CORP,AVC.P,CAD
AVCN,AVICANNA INC,AVCN,CAD
AVCR,AVRICORE HEALTH INC,AVCR,CAD
AVG,AVIDIAN GOLD CORP,AVG,CAD
AVI.P,ADL VENTURES INC,AVI.P,CAD
AVL,AVALON ADVANCED MATERIALS IN,AVL,CAD
AVN,AVANTI ENERGY INC,AVN,CAD
AVP,AVCORP INDUSTRIES INC,AVP,CAD
AVU,AVRUPA MINERALS LTD,AVU,CAD
AVX,ALTAIR RESOURCES INC,AVX,CAD
AW.UN,A&amp;W REVENUE ROYALTIES IN-UTS,AW.UN,CAD
AWE,THUNDERSTRUCK RESOURCES LTD,AWE,CAD
AWI,ADVENT-AWI HOLDINGS INC,AWI,CAD
AWS,ARROWSTAR RESOURCES LTD,AWS,CAD
AWX,ARCWEST EXPLORATION INC,AWX,CAD
AX.PR.A,ARTIS REAL ESTATE,AX.PR.A,CAD
AX.PR.E,ARTIS REAL ESTATE,AX.PR.E,CAD
AX.PR.I,ARTIS REAL ESTATE,AX.PR.I,CAD
AX.UN,ARTIS REAL ESTATE INVESTMENT,AX.UN,CAD
AXE,ACCELEWARE LTD,AXE,CAD
AXIS,AXIS AUTO FINANCE INC,AXIS,CAD
AXL,ARROW EXPLORATION CORP,AXL,CAD
AXM,AXMIN INC,AXM,CAD
AXU,ALEXCO RESOURCE CORP,AXU,CAD
AXV,AXION VENTURES INC,AXV,CAD
AYM,ATALAYA MINING PLC,AYM,CAD
AYR.A,AYR STRATEGIES INC,AYR.A,CAD
AYR.RT,AYR STRATEGIES INC-RIGHT,AYR.RT,CAD
AZM,AZIMUT EXPLORATION INC.,AZM,CAD
AZP.PR.A,CPI PFD EQUITY LTD-PFD A,AZP.PR.A,CAD
AZP.PR.B,CPI PREFERRED EQUITY LTD,AZP.PR.B,CAD
AZP.PR.C,CPI PREFERRED EQUITY SERIES 3,AZP.PR.C,CAD
AZR,AZARGA METALS CORP,AZR,CAD
AZS,ARIZONA SILVER EXPLORATION I,AZS,CAD
AZT,AZTEC MINERALS CORP,AZT,CAD
AZZ,AZARGA URANIUM CORP,AZZ,CAD
B,BCM RESOURCES CORP,B,CAD
BABY,ELSE NUTRITION HOLDINGS INC,BABY,CAD
BAD,BADGER DAYLIGHTING LTD,BAD,CAD
BAM.A,BROOKFIELD ASSET MANAGE-CL A,BAM.A,CAD
BAM.PF.A,BROOKFIELD ASSET MAN INC,BAM.PF.A,CAD
BAM.PF.B,BROOKFIELD ASSET MAN INC,BAM.PF.B,CAD
BAM.PF.C,BROOKFIELD ASSET MAN INC,BAM.PF.C,CAD
BAM.PF.D,BROOKFIELD ASSET MAN INC,BAM.PF.D,CAD
BAM.PF.E,BROOKFIELD ASSET MAN INC,BAM.PF.E,CAD
BAM.PF.F,BROOKFIELD ASSET MAN INC,BAM.PF.F,CAD
BAM.PF.G,BROOKFIELD ASSET MAN INC,BAM.PF.G,CAD
BAM.PF.H,BROOKFIELD ASSET MAN INC,BAM.PF.H,CAD
BAM.PF.I,BROOKFIELD ASSET MAN INC,BAM.PF.I,CAD
BAM.PF.J,BROOKFIELD ASSET MAN INC,BAM.PF.J,CAD
BAM.PR.B,BROOKFIELD ASSET MANAGEMENT INC CL A SER 2,BAM.PR.B,CAD
BAM.PR.C,BROOKFIELD ASSET MANAGEMENT INC CL A SR 4,BAM.PR.C,CAD
BAM.PR.E,BROOKFIELD ASSET MANAGEMENT INC CL A SR 8,BAM.PR.E,CAD
BAM.PR.G,BROOKFIELD ASSET MNGT INC CL A SR 9,BAM.PR.G,CAD
BAM.PR.K,BROOKFIELD ASSET MANAGEMENT INC PFD SERIES 13,BAM.PR.K,CAD
BAM.PR.M,BROOKFIELD ASSET MANAGEMENT INC PFD SERIES 17,BAM.PR.M,CAD
BAM.PR.N,BROOKFIELD ASSET MANAGEMENT INC PFD SERIES 18,BAM.PR.N,CAD
BAM.PR.R,BROOKFIELD ASSET MGMNT,BAM.PR.R,CAD
BAM.PR.S,BROOKFIELD ASSET MGMNT,BAM.PR.S,CAD
BAM.PR.T,BROOKFIELD ASSET MAN INC,BAM.PR.T,CAD
BAM.PR.X,BROOKFIELD ASSET MAN INC,BAM.PR.X,CAD
BAM.PR.Z,BROOKFIELD ASSET MAN INC,BAM.PR.Z,CAD
BANC,BANKERS COBALT CORP,BANC,CAD
BAQ.P,BLUEWATER ACQUISITION CORP,BAQ.P,CAD
BAR,BALMORAL RESOURCES LTD,BAR,CAD
BARI,BARRIAN MINING CORP,BARI,CAD
BASE,EVOLVE GLOBAL MAT &amp; MIN EN Y,BASE,CAD
BASE.B,EVOLVE GLOBAL MAT &amp; MIN EN Y,BASE.B,CAD
BAT,BATERO GOLD CORP,BAT,CAD
BATT,BLUEBIRD BATTERY METALS INC,BATT,CAD
BAU,BLUE STAR GOLD CORP,BAU,CAD
BAV.H,BRAVERN VENTURES LTD,BAV.H,CAD
BAY,ASTON BAY HOLDINGS LTD,BAY,CAD
BB,BLACKBERRY LTD,BB,CAD
BBA.P,BB1 ACQUISITION CORP,BBA.P,CAD
BBB,BRIXTON METALS CORP,BBB,CAD
BBD.A,BOMBARDIER INC-A,BBD.A,CAD
BBD.B,BOMBARDIER INC-B,BBD.B,CAD
BBD.PR.B,BOMBARDIER INC PFD SER 2,BBD.PR.B,CAD
BBD.PR.C,BOMBARDIER INC 6.25% SER 4,BBD.PR.C,CAD
BBD.PR.D,BOMBARDIER INC PFD D,BBD.PR.D,CAD
BBL.A,BRAMPTON BRICK LTD-A,BBL.A,CAD
BBM,BLUEBERRIES MEDICAL CORP,BBM,CAD
BBU.UN,BROOKFIELD BUSINESS PT-UNIT,BBU.UN,CAD
BC.U,BESPOKE CAPITAL ACQUISITIO-A,BC.U,USD
BCB,COTT CORP,BCB,CAD
BCE,BCE INC,BCE,CAD
BCE.PR.A,BCE INC CUM RED 1ST PFD SER AA,BCE.PR.A,CAD
BCE.PR.B,BCE INC COM RED 1ST PFD SER AB,BCE.PR.B,CAD
BCE.PR.C,BCE INC PFD C,BCE.PR.C,CAD
BCE.PR.D,BCE INC. RED FIRST PFD SHS SER AD,BCE.PR.D,CAD
BCE.PR.E,BCE INC 1ST PFD SHS SER AE,BCE.PR.E,CAD
BCE.PR.F,BCE INC 1ST PFD SHS SER AF,BCE.PR.F,CAD
BCE.PR.G,BCE INC 1ST PFD SHS SER AG,BCE.PR.G,CAD
BCE.PR.H,BCE INC 1ST PFD SHS SER AH,BCE.PR.H,CAD
BCE.PR.I,BCE INC 1ST PFD SHS SER AI,BCE.PR.I,CAD
BCE.PR.J,BCE INC,BCE.PR.J,CAD
BCE.PR.K,BCE INC,BCE.PR.K,CAD
BCE.PR.L,BCE INC,BCE.PR.L,CAD
BCE.PR.M,BCE INC,BCE.PR.M,CAD
BCE.PR.N,BCE INC,BCE.PR.N,CAD
BCE.PR.O,BCE INC,BCE.PR.O,CAD
BCE.PR.Q,BCE INC,BCE.PR.Q,CAD
BCE.PR.R,B C E INC RED FIRST PFD SER R,BCE.PR.R,CAD
BCE.PR.S,B C E INC SER S 1ST PFD,BCE.PR.S,CAD
BCE.PR.T,BCE INC CUM RED 1ST PFD SER T,BCE.PR.T,CAD
BCE.PR.Y,BCE INC CUM RED 1ST PFD SER Y,BCE.PR.Y,CAD
BCE.PR.Z,BCE INC PFD Z,BCE.PR.Z,CAD
BCF,BUILDERS CAPITAL MORTGAGE CO,BCF,CAD
BCI,NEW LOOK VISION GROUP INC,BCI,CAD
BCK,BLIND CREEK RESOURCES LTD,BCK,CAD
BCM,BEAR CREEK MINING CORPORATION,BCM,CAD
BCT,BRIACELL THERAPEUTICS CORP,BCT,CAD
BCU,BELL COPPER CORP,BCU,CAD
BCX,BLOCKCHAIN HOLDINGS LTD,BCX,CAD
BDGC,BOUNDARY GOLD &amp; COPPER MININ,BDGC,CAD
BDI,BLACK DIAMOND GROUP LTD,BDI,CAD
BDIV,BROMPTON GLOBAL DIVIDEND-ETF,BDIV,CAD
BDT,BIRD CONSTRUCTION INC,BDT,CAD
BEA,BELMONT RESOURCES INC,BEA,CAD
BEAN,PEEKABOO BEANS INC,BEAN,CAD
BEE,BEE VECTORING TECHNOLOGIES I,BEE,CAD
BEER,HILL STREET BEVERAGE CO INC,BEER,CAD
BEI.UN,BOARDWALK REAL ESTATE INVEST,BEI.UN,CAD
BEK.B,BECKER MILK CO LTD -CL 'B',BEK.B,CAD
BEN.H,BUTTE ENERGY INC,BEN.H,CAD
BEP.PR.E,BROOKFIELD RENEW POW PFD,BEP.PR.E,CAD
BEP.PR.G,BROOKFIELD RENEWABLE POW,BEP.PR.G,CAD
BEP.PR.I,BROOKFIELD RENEWABLE PAR,BEP.PR.I,CAD
BEP.PR.K,BROOKFIELD RENEWABLE PAR,BEP.PR.K,CAD
BEP.PR.M,BROOKFIELD RENEWABLE PAR,BEP.PR.M,CAD
BEP.PR.O,BROOKFIELD RENEWABLE PAR,BEP.PR.O,CAD
BEP.UN,BROOKFIELD RENEWABLE PARTNER,BEP.UN,CAD
BER.H,BE RESOURCES INC,BER.H,CAD
BES,BRAILLE ENERGY SYSTEMS INC,BES,CAD
BEW,BEWHERE HOLDINGS INC,BEW,CAD
BEX,BENTON RESOURCES INC,BEX,CAD
BEY,BLACKSTEEL ENERGY INC,BEY,CAD
BFF,NEVADA ENERGY METALS INC,BFF,CAD
BFIN,BROMPTON NORTH AMERICAN FINA,BFIN,CAD
BGA,BIONEUTRA GLOBAL CORP,BGA,CAD
BGC,BRISTOL GATE CONCENTRAT ETF,BGC,CAD
BGD.H,BULLION GOLD RESOURCES CORP,BGD.H,CAD
BGF,BEAUCE GOLD FIELDS INC,BGF,CAD
BGI.UN,BROOKFIELD GLOBAL INFRASTRUC,BGI.UN,CAD
BGM,BARKERVILLE GOLD MINES LTD,BGM,CAD
BGS,BAROYECA GOLD &amp; SILVER INC,BGS,CAD
BGU,BRISTOL GATE CONCEN US ETF,BGU,CAD
BHAV,PURPOSE BEHAVIOURAL OPPORTUN,BHAV,CAD
BHC,BAUSCH HEALTH COS INC,BHC,CAD
BHR,BLACKHEATH RESOURCES INC,BHR,CAD
BHS,BAYHORSE SILVER INC,BHS,CAD
BHT,BRAVEHEART RESOURCES INC,BHT,CAD
