14D,1414 DEGREES LTD,14D,AUD
1AD,ADALTA LTD,1AD,AUD
1AG,ALTERRA LTD,1AG,AUD
1AL,ONEALL INTERNATIONAL LTD,1AL,AUD
1ST,1ST GROUP LTD,1ST,AUD
2BE,TUBI PTY LTD,2BE,AUD
360,LIFE360 INC-CDI,360,AUD
3DP,POINTERRA LTD,3DP,AUD
3PL,3P LEARNING LTD,3PL,AUD
4CE,FORCE COMMODITIES LTD,4CE,AUD
4DS,4DS MEMORY LTD,4DS,AUD
5GN,5G NETWORKS LTD/AUSTRALIA,5GN,AUD
88E,88 ENERGY LTD,88E,AUD
8CO,8COMMON LTD,8CO,AUD
8EC,8IP EMERGING COS LTD,8EC,AUD
8IH,8I HOLDINGS LTD-CDI,8IH,AUD
8VI,8VIC HOLDINGS LTD,8VI,AUD
9SP,9 SPOKES INTERNATIONAL LTD,9SP,AUD
A1G,AFRICAN GOLD LTD,A1G,AUD
A1M,AIC MINES LTD,A1M,AUD
A200,BETASHARES AUSTRALIA 200 ETF,A200,AUD
A2B,A2B AUSTRALIA LTD,A2B,AUD
A2M,A2 MILK CO LTD,A2M,AUD
A3D,AURORA LABS LTD,A3D,AUD
A40,ALITA RESOURCES LTD,A40,AUD
A4N,ALPHA HPA LTD,A4N,AUD
AAA,BETASHARES AUS HIGH INTEREST,AAA,AUD
AAC,AUSTRALIAN AGRICULTURAL CO,AAC,AUD
AAJ,ARUMA RESOURCES LTD,AAJ,AUD
AAP,AUSTRALIAN AGRICULTURAL PROJ,AAP,AUD
AAR,ANGLO AUSTRALIAN RESOURCES,AAR,AUD
AAU,ADCORP AUSTRALIA LIMITED,AAU,AUD
AB1,ANIMOCA BRANDS CORPORATION LTD,AB1,AUD
ABA,AUSWIDE BANK LTD,ABA,AUD
ABC,ADELAIDE BRIGHTON LIMITED,ABC,AUD
ABL,ABILENE OIL AND GAS LTD,ABL,AUD
ABP,ABACUS PROPERTY GROUP,ABP,AUD
ABR,AMERICAN PACIFIC BORATES LTD,ABR,AUD
ABT,ABUNDANT PRODUCE LTD,ABT,AUD
ABV,ADVANCED BRAKING TECHNOLOGY,ABV,AUD
ABW,AURORA ABSOLUTE RETURN FUND,ABW,AUD
ABX,AUSTRALIAN BAUXITE LTD,ABX,AUD
AC8,AUSCANN GROUP HOLDINGS LTD,AC8,AUD
ACB,A-CAP ENERGY LTD,ACB,AUD
ACDC,ETFS BATTERY TECH AND LITHIM,ACDC,AUD
ACF,ACROW FORMWORK AND CONSTRUCT,ACF,AUD
ACP,AUDALIA RESOURCES LTD,ACP,AUD
ACQ,ACORN CAPITAL INVESTMENT FUN,ACQ,AUD
ACR,ACRUX LTD,ACR,AUD
ACS,ACCENT RESOURCES NL,ACS,AUD
ACW,ACTINOGEN MEDICAL LTD,ACW,AUD
AD1,APPLYDIRECT LTD,AD1,AUD
AD8,AUDINATE GROUP LTD,AD8,AUD
ADA,ADACEL TECHNOLOGIES LIMITED,ADA,AUD
ADD,ADAVALE RESOURCES LTD,ADD,AUD
ADH,ADAIRS LTD,ADH,AUD
ADI,APN INDUSTRIA REIT,ADI,AUD
ADJ,ADSLOT LTD,ADJ,AUD
ADN,ANDROMEDA METALS LTD,ADN,AUD
ADO,ANTEO DIAGNOSTICS LTD,ADO,AUD
ADR,ADHERIUM LTD,ADR,AUD
ADT,ADRIATIC METALS PLC-CDI,ADT,AUD
ADV,ARDIDEN LTD,ADV,AUD
ADX,ADX ENERGY LTD,ADX,AUD
ADY,ADMIRALTY RESOURCES NL,ADY,AUD
AEB,AFFINITY ENERGY AND HEALTH L,AEB,AUD
AEE,AURA ENERGY LTD,AEE,AUD
AEF,AUSTRALIAN ETHICAL INVT LTD,AEF,AUD
AEG,ABSOLUTE EQUITY PERFORMANCE,AEG,AUD
AEI,AERIS ENVIRONMENTAL LTD,AEI,AUD
AER,AEERIS LTD,AER,AUD
AEV,AVENIRA LTD,AEV,AUD
AFA,ASF GROUP LTD,AFA,AUD
AFG,AUSTRALIAN FINANCE GROUP LTD,AFG,AUD
AFI,AUSTRALIAN FOUNDATION INV CO,AFI,AUD
AFL,AF LEGAL GROUP,AFL,AUD
AFP,AFT PHARMACEUTICALS LTD,AFP,AUD
AFR,AFRICAN ENERGY RESOURCES-CDI,AFR,AUD
AFT,AFT CORP LTD,AFT,AUD
AGD,AUSTRAL GOLD LTD,AGD,AUD
AGE,ALLIGATOR ENERGY LTD,AGE,AUD
AGG,ANGLOGOLD ASHANTI LTD-CDI,AGG,AUD
AGH,ALTHEA GROUP HOLDINGS LTD,AGH,AUD
AGI,AINSWORTH GAME TECHNOLOGY LT,AGI,AUD
AGJ,AGRICULTURAL LAND TRUST,AGJ,AUD
AGL,AGL ENERGY LTD,AGL,AUD
AGLHA,AGL ENERGY SUBORDINATED NOTES,AGLHA,AUD
AGM,AUSTRALIAN GOVT AND ETIC IDX,AGM,AUD
AGR,AGUIA RESOURCES LTD,AGR,AUD
AGS,ALLIANCE RESOURCES LTD,AGS,AUD
AGVT,BETASHARES AUS GOV BOND ETF,AGVT,AUD
AGX1,ANTIPODES GLBL SHRS EQMF ETF,AGX1,AUD
AGY,ARGOSY MINERALS LTD,AGY,AUD
AHF,AUSTRALIAN DAIRY NUTRITIONAL,AHF,AUD
AHK,ARK MINES LTD,AHK,AUD
AHL,AHALIFE HOLDINGS LTD,AHL,AUD
AHN,ATHENA RESOURCES LTD,AHN,AUD
AHQ,ALLEGIANCE COAL LTD,AHQ,AUD
AHX,APIAM ANIMAL HEALTH LTD,AHX,AUD
AHY,ASALEO CARE LTD,AHY,AUD
AHZ,ADMEDUS LTD,AHZ,AUD
AIA,AUCKLAND INTL AIRPORT LTD,AIA,AUD
AIB,AURORA GLOBAL INCOME TRUST,AIB,AUD
AIQ,ALTERNATIVE INVESTMENT TRUST,AIQ,AUD
AIR,ASTIVITA LTD,AIR,AUD
AIS,AERIS RESOURCES LTD,AIS,AUD
AIV,ACTIVEX LIMITED,AIV,AUD
AIY,AUTHORISED INVESTMENT FUND L,AIY,AUD
AIZ,AIR NEW ZEALAND LTD,AIZ,AUD
AJC,ACACIA COAL LTD,AJC,AUD
AJJ,ASIAN AMERICAN MEDICAL GROUP,AJJ,AUD
AJL,AJ LUCAS GROUP LIMITED,AJL,AUD
AJM,ALTURA MINING LTD,AJM,AUD
AJQ,ARMOUR ENERGY LTD,AJQ,AUD
AJX,ALEXIUM INTERNATIONAL GROUP,AJX,AUD
AJY,ASAPLUS RESOURCES LTD-CDI,AJY,AUD
AKG,ACADEMIES AUSTRALASIA GROUP,AKG,AUD
AKM,ASPIRE MINING LTD,AKM,AUD
AKN,AUKING MINING LTD,AKN,AUD
AKP,AUDIO PIXELS HOLDINGS LTD,AKP,AUD
AL8,ALDERAN RESOURCES LTD,AL8,AUD
ALC,ALCIDION GROUP LTD,ALC,AUD
ALF,AUSTRALIAN LEADERS FUND LTD,ALF,AUD
ALG,ARDENT LEISURE GROUP LTD,ALG,AUD
ALI,ARGO GLOBAL LISTED INFRASTRU,ALI,AUD
ALK,ALKANE RESOURCES LTD,ALK,AUD
ALL,ARISTOCRAT LEISURE LTD,ALL,AUD
ALQ,ALS LTD,ALQ,AUD
ALT,ANALYTICA LIMITED,ALT,AUD
ALU,ALTIUM LIMITED,ALU,AUD
ALX,ATLAS ARTERIA,ALX,AUD
ALY,ALCHEMY RESOURCES LTD,ALY,AUD
AMA,AMA GROUP LTD,AMA,AUD
AMB,AMBITION GROUP LIMITED,AMB,AUD
AMC,AMCOR PLC-CDI,AMC,AUD
AMD,ARROW MINERALS LTD,AMD,AUD
AME,ALTO METALS LTD,AME,AUD
AMG,AUSMEX MINING GROUP LTD,AMG,AUD
AMH,AMCIL LIMITED,AMH,AUD
AMI,AURELIA METALS LTD,AMI,AUD
AML,AEON METALS LTD,AML,AUD
AMN,AGRIMIN LTD,AMN,AUD
AMO,AMBERTECH LIMITED,AMO,AUD
AMP,AMP LIMITED,AMP,AUD
AMPPA,AMP LTD,AMPPA,AUD
AMS,ATOMOS LTD,AMS,AUD
AMT,ALLEGRA ORTHOPAEDICS LTD,AMT,AUD
AN1,AUSTRALIAN NUTRITION &amp; SPORT,AN1,AUD
ANA,ANSILA ENERGY NL,ANA,AUD
ANG,AUSTIN ENGINEERING LTD,ANG,AUD
ANL,AMANI GOLD LTD,ANL,AUD
ANN,ANSELL LTD,ANN,AUD
ANO,ADVANCE NANOTEK LTD,ANO,AUD
ANP,ANTISENSE THERAPEUTICS LIMITED,ANP,AUD
ANQ,ANAECO LTD,ANQ,AUD
ANR,ANATARA LIFESCIENCES LTD,ANR,AUD
ANS,AUSTSINO RESOURCES GROUP LTD,ANS,AUD
ANW,AUS TIN MINING LTD,ANW,AUD
ANZ,AUST AND NZ BANKING GROUP,ANZ,AUD
ANZPD,AUST &amp; NZ BANKING GROUP,ANZPD,AUD
ANZPE,AUST &amp; NZ BANKING GROUP,ANZPE,AUD
ANZPF,AUST &amp; NZ BANKING GROUP,ANZPF,AUD
ANZPG,AUST &amp; NZ BANKING GROUP CAPITAL NOTES 2016,ANZPG,AUD
ANZPH,AUST &amp; NZ BANKING GROUP,ANZPH,AUD
AO1,ASSETOWL LTD,AO1,AUD
AOA,AUSMON RESOURCES LTD,AOA,AUD
AOF,AUSTRALIAN UNITY OFFICE FUND,AOF,AUD
AOG,AVEO GROUP,AOG,AUD
AON,APOLLO MINERALS LTD,AON,AUD
AOP,APOLLO CONSOLIDATED LTD,AOP,AUD
AOU,AUROCH MINERALS LTD,AOU,AUD
AOW,AMERICAN PATRIOT OIL &amp; GAS L,AOW,AUD
APA,APA GROUP,APA,AUD
APC,AUSTRALIAN POTASH LTD,APC,AUD
APD,APN PROPERTY GROUP LTD,APD,AUD
APE,AP EAGERS LIMITED,APE,AUD
APG,AUSTPAC RESOURCES NL,APG,AUD
APH,AUSTRALIAN PRIMARY HEMP LTD,APH,AUD
API,AUSTRALIAN PHARMA INDUS LTD,API,AUD
APL,ANTIPODES GLOBAL INVESTMENT,APL,AUD
APT,AFTERPAY TOUCH GROUP LTD,APT,AUD
APV,APPSVILLAGE AUSTRALIA LTD,APV,AUD
APW,AIMS PROPERTY SECURITIES FUN,APW,AUD
APX,APPEN LTD,APX,AUD
APZ,ASPEN GROUP,APZ,AUD
AQC,AUSTRALIAN PACIFIC COAL LTD,AQC,AUD
AQD,AUSQUEST LTD,AQD,AUD
AQG,ALACER GOLD CORP-CDI,AQG,AUD
AQI,ALICANTO MINERALS LTD,AQI,AUD
AQR,APN CONVENIENCE RETAIL REIT,AQR,AUD
AQS,AQUIS ENTERTAINMENT LTD,AQS,AUD
AQX,ALICE QUEEN LTD,AQX,AUD
AQZ,ALLIANCE AVIATION SERVICES L,AQZ,AUD
AR9,ARCHTIS LTD,AR9,AUD
ARA,ARIADNE AUSTRALIA LIMITED,ARA,AUD
ARB,ARB CORP LTD,ARB,AUD
ARC,AUSTRALIAN RURAL CAPITAL LTD,ARC,AUD
ARD,ARGENT MINERALS LTD,ARD,AUD
ARE,ARGONAUT RESOURCES NL,ARE,AUD
ARF,ARENA REIT,ARF,AUD
ARG,ARGO INVESTMENTS LIMITED,ARG,AUD
ARL,ARDEA RESOURCES LTD,ARL,AUD
ARM,AURORA MINERALS LTD,ARM,AUD
ARN,ALDORO RESOURCES LTD,ARN,AUD
