2INVE,LYXOR IBEX35 DX2 SHORT-ACC,2INVE,EUR
A3M,ATRESMEDIA CORP DE MEDIOS DE,A3M,EUR
ABB,AB-BIOTICS SA,ABB,EUR
ABG,ABENGOA SA -CL A,ABG,EUR
ABG.P,ABENGOA SA- B SHARES,ABG.P,EUR
ACS,ACS ACTIVIDADES CONS Y SERV,ACS,EUR
ACX,ACERINOX SA,ACX,EUR
ADX,AUDAX RENOVABLES SA,ADX,EUR
ADZ,ADOLFO DOMINGUEZ,ADZ,EUR
AEDAS,AEDAS HOMES SAU,AEDAS,EUR
AENA,AENA SME SA,AENA,EUR
AGIL,AGILE CONTENT SA,AGIL,EUR
AIR,AIRBUS SE,AIR,EUR
ALB,CORPORACION FINANCIERA ALBA,ALB,EUR
ALC,ALTIA CONSULTORES SA,ALC,EUR
ALM,ALMIRALL SA,ALM,EUR
ALNT,ALANTRA PARTNERS SA,ALNT,EUR
ALQ,ALQUIBER QUALITY SA,ALQ,EUR
AMP,AMPER SA,AMP,EUR
AMS,AMADEUS IT GROUP SA,AMS,EUR
ANA,ACCIONA SA,ANA,EUR
APAM,APERAM,APAM,EUR
APPS,APPLUS SERVICES SA,APPS,EUR
ARM,ARIMA REAL ESTATE SOCIMI SA,ARM,EUR
ATRY,ATRYS HEALTH SA,ATRY,EUR
ATTO,ATENTO INVERSIONES Y TELESER,ATTO,EUR
AZK,AZKOYEN SA,AZK,EUR
AZR,AZORA ALTUS SA,AZR,EUR
B5R,BERKELEY ENERGIA LTD,BKY,EUR
BAIN1,BORGES AGRICULTURAL AND INDU,BAIN,EUR
BBVA,BANCO BILBAO VIZCAYA ARGENTA,BBVA,EUR
BBVAE,BBVA-ACCION DJ EURO STOXX 50,BBVAE,EUR
BBVAI,BBVA-ACCION IBEX 35 ETF,BBVAI,EUR
BDL,BARON DE LEY,BDL,EUR
BIO,BIOSEARCH SA,BIO,EUR
BKIA,BANKIA SA,BKIA,EUR
BKT,BANKINTER SA,BKT,EUR
BME,BOLSAS Y MERCADOS ESPANOLES,BME,EUR
BNT,ADL BIONATUR SOLUTIONS SA,ADL,EUR
CABK,CAIXABANK S.A,CABK,EUR
CAF,CONSTRUCC Y AUX DE FERROCARR,CAF,EUR
CASH2,PROSEGUR CASH SA,CASH,EUR
CBAV,CLINICA BAVIERA SA,CBAV,EUR
CDR,CODERE SA,CDR,EUR
CEV1,CEVASA-CIA ESPANOL DE VIV-,CEV,EUR
CIDA,CIA ENERGETICA MINAS GER-PRF,XCMIG,EUR
CIE,CIE AUTOMOTIVE SA,CIE,EUR
CLE,CLEVER GLOBAL SA,CLE,EUR
CLEO,CLEOP-CIA LEVANTINA EDF,CLEO,EUR
CLNX,CELLNEX TELECOM SA,CLNX,EUR
CLR,CLERHP ESTRUCTURAS SA,CLR,EUR
CMC1,CORP EMPRESARIAL DE MATERIAL,CMC,EUR
CMM,COMMCENTER SA,CMM,EUR
CMO1,CEMENTOS MOLINS SA,CMO,EUR
COL,INMOBILIARIA COLONIAL SOCIMI,COL,EUR
COM1,CATENON SA,COM,EUR
DIA.D,DISTRIBUIDORA INTERNACIO-RTS,DIA.D,EUR
DIA1,DISTRIBUIDORA INTERNACIONAL,DIA,EUR
DOM,GLOBAL DOMINION ACCESS SA,DOM,EUR
EAT,AMREST HOLDINGS SE,EAT,EUR
EBI,EBIOSS ENERGY SE,EBI,EUR
EBRO,EBRO FOODS SA,EBRO,EUR
ECG,EUROCONSULT ENGINEERING CONS,ECG,EUR
ECR,ERCROS SA,ECR,EUR
EDR,EDREAMS ODIGEO SL,EDR,EUR
EEP1,EUROESPES SA,EEP,EUR
EKT1,EUSKALTEL SA,EKT,EUR
ELE,ENDESA SA,ELE,EUR
ELZ,ASTURIANA DE LAMINADOS SA,ELZ,EUR
ENC,ENCE ENERGIA Y CELULOSA SA,ENC,EUR
ENG,ENAGAS SA,ENG,EUR
ENO,ELECNOR SA,ENO,EUR
EWT,EURONA WIRELESS TELECOM SA,EWT,EUR
EZE,GRUPO EZENTIS SA,EZE,EUR
