00XJ,WT AGRICULTURE - EUR DLY HDG,00XJ,EUR
00XK,WT BROAD CMMD - EUR DLY HDG,00XK,EUR
00XL,WT COPPER - EUR DAILY HEDGED,00XL,EUR
00XM,WT WTI CRUDE - EUR DLY HDG,00XM,EUR
00XN,WT GOLD - EUR DAILY HEDGED,00XN,EUR
00XP,WT NATURAL GAS - EUR DLY HDG,00XP,EUR
00XQ,WT PRECS METALS-EUR DLY HDG,00XQ,EUR
00XR,WT SILVER - EUR DAILY HEDGED,00XR,EUR
00XS,WT WHEAT - EUR DAILY HEDGED,00XS,EUR
00XT,WT BRENT CRUDE - EUR DLY HDG,00XT,EUR
021,SFS GROUP AG,021,EUR
02M,MOSAIC CO/THE,02M,EUR
02P,PEARL GOLD AG,02P,EUR
09B,LASTMINUTE.COM NV,09B,EUR
0B2,BAWAG GROUP AG,0B2,EUR
0B7,BOSSARD HOLDING AG-REG A,0B7,EUR
0EK2,EKOTECHNIKA AG,0EK2,EUR
0GZA,BNP PAR NATURAL GAS ER,0GZA,EUR
0GZB,BNP PAR ENHANCED COPPER ER,0GZB,EUR
0GZC,BNP PAR ENHANCED NICKEL ER,0GZC,EUR
0GZD,BNP PAR ENH INDUSTR METL ER,0GZD,EUR
0GZE,BNP PAR ENHANCED GAS OIL ER,0GZE,EUR
0GZF,BNP PAR ENH GASOLINE ER,0GZF,EUR
0GZG,BNP PAR ENH HEATING OIL ER,0GZG,EUR
0GZH,BNP PAR ALUMINIUM ER,0GZH,EUR
0GZI,BNP PAR ENHANCED ZINC ER,0GZI,EUR
0GZJ,BNP ENHANCED TIN ER,0GZJ,EUR
0GZK,BNP ENHANCED LEAD ER,0GZK,EUR
0GZL,BNP PAR ENH INDUSTR METL ER,0GZL,EUR
0HG,HIAG IMMOBILIEN AG,0HG,EUR
0LJC,WT WTI CRUDE OIL PRE-ROLL,0LJC,EUR
0LJD,WT BRENT CRUDE OIL PRE-ROLL,0LJD,EUR
0LJI,WT EURO STX BNK 3X DLY LVRGD,0LJI,EUR
0LJJ,WT EURO STX BNK 3X DLY SHORT,0LJJ,EUR
0PP,PORTOLA PHARMACEUTICALS INC,0PP,EUR
0PX,PHILEX MINING CORP,0PX,EUR
0Q3,BEYOND MEAT INC,0Q3,EUR
0UB,UBS GROUP AG-REG,0UB,EUR
0YU,YUM CHINA HOLDINGS INC,0YU,EUR
10AH,AMUNDI INDEX MSCI WORLD DR D,10AH,EUR
10AI,AMUNDI MSCI EUR UCITS DR- D,10AI,EUR
10AJ,AMUNDI ETF FTSE EPRA GL UC D,10AJ,EUR
10AK,AMUNDI JP MRG GBI GLOB GOV D,10AK,EUR
10AL,AMUNDI INDEX JPM EMU GOV D,10AL,EUR
10AM,AMUNDI BARCLAYS GL AG 500M D,10AM,EUR
12DA,DELL TECHNOLOGIES -C,12DA,EUR
185,ALCOA CORP,185,EUR
18I,ADIENT PLC,18I,EUR
19T,IDORSIA LTD,19T,EUR
19V,VAT GROUP AG,19V,EUR
1CG,CRISPR THERAPEUTICS AG,1CG,EUR
1CLB,CALIFORNIA RESOURCES CORP,1CLB,EUR
1COV,COVESTRO AG,1COV,EUR
1HM,ADAPTIVE BIOTECHNOLOGIES,1HM,EUR
1MA,MACOM TECHNOLOGY SOLUTIONS H,1MA,EUR
1Q3,SENSIRION HOLDING AG,1Q3,EUR
1Q7,ASMALLWORLD AG,1Q7,EUR
1SI,SNAP INC - A,1SI,EUR
1SQ,SWISSQUOTE GROUP HOLDING-REG,1SQ,EUR
1V1,VECTRUS INC,1V1,EUR
1W8,WISEKEY INTERNATIONAL HOLDIN,1W8,EUR
1WR,WESTROCK CO,1WR,EUR
1Y4,SCHWEIZERISCH NATIONALBA-REG,1Y4,EUR
1YQA,SIG COMBIBLOC GROUP AG,1YQA,EUR
1Z3,HOCHDORF HOLDING AG,1Z3,EUR
1Z5,PERSPECTA INC,1Z5,EUR
22D,OBSEVA SA,22D,EUR
22Z,ZEALAND PHARMA A/S,22Z,EUR
25N,NEWCAP HOLDING A/S,25N,EUR
279,APG SGA SA,279,EUR
288,VERITIV CORP,288,EUR
29K,DFDS A/S,29K,EUR
29Y,POLYPHOR AG,29Y,EUR
2CRSI,2CRSI SA,52C,EUR
2CU,CHEMOURS CO/THE,2CU,EUR
2FB,FORTUNE BRANDS HOME &amp; SECURI,2FB,EUR
2G1,GREEN BRICK PARTNERS INC,2G1,EUR
2GB,2G ENERGY AG,2GB,EUR
2GH,MERUS NV,2GH,EUR
2HP,HEWLETT PACKARD ENTERPRISE,2HP,EUR
2HQ,TILRAY INC-CLASS 2 COMMON,2HQ,EUR
2HRA,H&amp;R GMBH &amp; CO KGAA,2HRA,EUR
2II,ITT INC,2II,EUR
2KD,KINDER MORGAN INC,2KD,EUR
2M6,MEDTRONIC PLC,2M6,EUR
2MK,KLINGELNBERG AG,2MK,EUR
2NJ,COVETRUS INC,2NJ,EUR
2PO,POST HOLDINGS INC,2PO,EUR
2PP,PAYPAL HOLDINGS INC,2PP,EUR
2PZ,PLAZZA AG-REG A,2PZ,EUR
2QAA,AURIS MEDICAL HOLDING LTD,2QAA,EUR
2QO,QORVO INC,2QO,EUR
2QU,ONOFF AG,2QU,EUR
2S7,SPRINT CORP,2S7,EUR
2U3,ALCON INC,2U3,EUR
2X0,CORTEVA INC,2X0,EUR
2XT,DXC TECHNOLOGY CO,2XT,EUR
31D1,DAETWYLER HOLDING AG-BR,31D1,EUR
333,DECHENG TECHNOLOGY AG,333,EUR
34LA,ALPINE IMMUNE SCIENCES INC,34LA,EUR
35V,VEON LTD,35V,EUR
39YA,RUBICON TECHNOLOGY INC,39YA,EUR
3BFM,WT BRENT CRUDE 3X DLY LVRGD,3BFM,EUR
3BFS,WT BRENT CRUDE 3X DLY SHORT,3BFS,EUR
3BG,U-BLOX HOLDING AG,3BG,EUR
3DEL1,WT DAX 30 3X DAILY LEVERAGED,3DEL,EUR
3DES1,WT DAX 30 3X DAILY SHORT,3DES,EUR
3E3M,WT EM 3X DAILY LVRGD,3E3M,EUR
3E3S,WT EM 3X DAILY SHORT,3E3S,EUR
3IT,IT COMPETENCE GROUP SE,3IT,EUR
3LN,LIVE NATION ENTERTAINMENT IN,3LN,EUR
3P7,PANDORA A/S,3P7,EUR
3QQQ,WT NASDAQ 100 3X DLY LVRGD,3QQQ,EUR
3QSS,WT NASDAQ 100 3X DAILY SHORT,3QSS,EUR
3SPG,BOERSE DE-WELTFONDS-TM,3SPG,EUR
3SQ1,AHT SYNGAS TECHNOLOGY NV,3SQ1,EUR
3T3,TIVO CORP,3T3,EUR
3TT,TECNOTREE OYJ,3TT,EUR
3V64,VISA INC-CLASS A SHARES,3V64,EUR
3VD,LUMX GROUP LTD,3VD,EUR
3VFN,VP BANK AG-REG,3VFN,EUR
4AB,ABBVIE INC,4AB,EUR
4AJ,ALK-ABELLO AS,4AJ,EUR
4BRN,BLACKSTONE RESOURCES AG,4BRN,EUR
4C0,CONDUENT INC,4C0,EUR
4DS,DALDRUP &amp; SOEHNE AG,4DS,EUR
4GLD,XETRA-GOLD,4GLD,EUR
4I1,PHILIP MORRIS INTERNATIONAL,4I1,EUR
4J6,LUZERNER KANTONALBANK AG-REG,4J6,EUR
4J7,BOBST GROUP SA-REG,4J7,EUR
4LG,LANDIS+GYR GROUP AG,4LG,EUR
4O7,ORASCOM DEVELOPMENT HOLDING,4O7,EUR
