0A12,INVESCO ULTRA SHORT DURATION,0A12,USD
0A1I,INVESCO CURRENCYSHARES EURO,0A1I,USD
0A1T,SPDR MSCI ACWI EX-US,0A1T,USD
0DT2,FIRST TRUST EUROZONE ALPHADE,0DT2,USD
0FBL,WISDOMTREE CHINA EX-ST OW,0FBL,USD
0H82,COMSTAGE ETF CAC 40,0H82,EUR
0HDB,X MSCI EMU CHF,0HDB,EUR
0I9M,DIREXION DLY RETAIL BULL 3X,0I9M,USD
0I9S,DIREXION DLY MID CAP BULL 3X,0I9S,USD
0IAS,DIREXION DLY S KOREA BULL 3X,0IAS,USD
0IAW,DRX DLY HEALTHCARE BULL 3X,0IAW,USD
0IBR,DRX DLY S&amp;P BIOTECH BULL 3X,0IBR,USD
0IEQ,ETFMG PRIME CYBER SECURITY E,0IEQ,USD
0IJL,EMERGING MRKTS INTERNET &amp; EC,0IJL,USD
0IND,FIRST TRUST DJ INTERNET IND,0IND,USD
0IX4,GLOBAL X MLP ETF,0IX4,USD
0IYF,GLOBAL X SILVER MINERS ETF,0IYF,USD
0IYH,GLOBAL X GOLD EXPLORERS ETF,0IYH,USD
0JF2,ISHARES MSCI GERMANY ETF,0JF2,USD
0JFD,ISHARES CHINA LARGE-CAP ETF,0JFD,USD
0JFI,ISHARES IBOXX INVESTMENT GRA,0JFI,USD
0JG6,ISHARES CORE S&amp;P MID-CAP ETF,0JG6,USD
0JGK,ISHARES RUSSELL 2000 GROWTH,0JGK,USD
0JH3,ISHARES CORE S&amp;P SMALL-CAP E,0JH3,USD
0JH7,ISHARES DOW JONES U.S. ETF,0JH7,USD
0JHS,ISHARES MSCI ACWI ETF,0JHS,USD
0JJ4,ISHARES GLOBAL MATERIALS ETF,0JJ4,USD
0JJC,ISHARES U.S. HOME CONSTRUCTI,0JJC,USD
0JJP,ISHARES U.S. OIL &amp; GAS EXPLO,0JJP,USD
0JKD,ISHARES INTERNATIONAL PREFER,0JKD,USD
0JKH,ISHARES MSCI INDONESIA ETF,0JKH,USD
0JLA,ISHARES EDGE MSCI USA MOMENT,0JLA,USD
0JLK,ISHARES CORE MSCI EMERGING,0JLK,USD
0JLR,ISHARES MSCI SINGAPORE ETF,0JLR,USD
0JLS,ISHARES MSCI RUSSIA ETF,0JLS,USD
0JLW,ISHARES MSCI GLOBAL METALS &amp;,0JLW,USD
0JRY,KRANESH BOSERA MSCI CHINA A,0JRY,USD
0KQK,PROSHARES ULTRA FINANCIALS,0KQK,USD
0KQR,PROSHARES ULTRAPRO QQQ,0KQR,USD
0KR4,PROSHARES ULTRASHORT R2000,0KR4,USD
0L0S,SPDR S&amp;P AEROSPACE &amp; DEF ETF,0L0S,USD
0L12,SPDR OIL &amp; GAS EQUIP &amp; SERV,0L12,USD
0L13,SPDR S&amp;P METALS &amp; MINING ETF,0L13,USD
0L4Q,ENERGY SELECT SECTOR SPDR,0L4Q,USD
0L4R,FINANCIAL SELECT SECTOR SPDR,0L4R,USD
0L4T,TECHNOLOGY SELECT SECT SPDR,0L4T,USD
0LLL,VANECK EGYPT,0LLL,USD
0LLR,VANECK BRAZIL SMALL-CAP,0LLR,USD
0LMD,VANGUARD TOTAL BOND MARKET,0LMD,USD
0LMN,VANGUARD TOT WORLD STK ETF,0LMN,USD
0LNF,VANGUARD RUSSELL 1000,0LNF,USD
0LO7,VANGUARD MID-CAP VALUE ETF,0LO7,USD
0LOE,VANGUARD SMALL-CAP GRWTH ETF,0LOE,USD
0MJN,MARKET ACCESS DAXGLB BRIC,0MJN,EUR
0MJP,MARKET ACCESS DAXGLB RUSSIA,0MJP,EUR
0MNZ,ISH EU GVTBNDCAP 1.5-2.5 DE,0MNZ,EUR
0MWX,ISHARES US TELECOMMUNICATION,0MWX,EUR
0MWZ,ISHARES S&amp;P GSCI COMMODITY I,0MWZ,EUR
0U5Z,ISHARES EXPANDED TECH-SOFTWA,0U5Z,USD
0V08,PROSHARES VIX SHORT-TERM FUT,0V08,USD
0VOO,VANGUARD LONG-TERM CORP BOND,0VOO,USD
0XE0,BNPPEASY STOXX50 UCITSETF-CD,0XE0,EUR
0Y2F,UBS ETF MSCI EMU,0Y2F,EUR
0Y3I,X S&amp;P 500 CHF,0Y3I,EUR
0Y6W,UBS ETF MAP BALANCED 7-A ACC,0Y6W,EUR
0Y7I,UBSETF FACTOR USA TSY H EURA,0Y7I,EUR
0YDK,CAMBRIA GLOBAL VALUE ETF,0YDK,USD
0YE9,PROSHARES SHORT DOW30,0YE9,USD
0YEB,PROSHARES ULTRASHORT QQQ,0YEB,USD
0YED,PROSH ULTRAPRO SHORT S&amp;P 500,0YED,USD
0YEE,PROSHARES ULTRASHORT DOW30,0YEE,USD
0YEG,PROSHARES ULTSHRT MSCI EM,0YEG,USD
0YIK,INVESCO QQQ TRUST SERIES 1,0YIK,USD
0YLF,INVESCO S&amp;P 500 HIGH DIVIDEN,0YLF,USD
0YLL,INVESCO PREFERRED ETF,0YLL,USD
0YWV,INNOVATION SHARES NEXTGEN PR,0YWV,USD
100D,LYXOR FTSE 100 UCITS ETF,100D,GBP
100GBAGBP,UBS ETF FTSE 100,UB03,GBP
100H,LYXOR FTSE 100-HDG-C-USD,100H,USD
100UKD,UBS ETF FTSE 100 UKD,0HCG,GBP
1GIS,WT GILTS 10Y 1X DAILY SHORT,1GIS,GBP
1MCS,WT FTSE 250 1X DAILY SHORT,1MCS,GBP
1PAS,WT PALLADIUM 1X DAILY SHORT,1PAS,USD
2AAP,LEVERAGE SHARES 2X APPLE,2AAP,GBP
2AMZ,LEVERAGE SHARES 2X AMAZON,2AMZ,GBP
2CIT,LEVERAGE SHARES 2X CITIGROUP,2CIT,GBP
2CRM,LEVERAGE SHARES 2X SLFRC.COM,2CRM,GBP
2FB,LEVERAGE SHARES 2X FACEBOOK,2FB,GBP
2GOO,LEVERAGE SHARES 2X ALPHABET,2GOO,GBP
2GS,LEVERAGE SHARES 2X GLDMN SCH,2GS,GBP
2JPM,LEVERAGE SHARES 2X JPMORGAN,2JPM,GBP
2MCL,WT FTSE 250 2X DLY LEVERAGED,2MCL,GBP
2MSF,LEVERAGE SHARES 2X MICROSOFT,2MSF,GBP
2NFL,LEVERAGE SHARES 2X NETFLIX,2NFL,GBP
2NVD,LEVERAGE SHARES 2X NVIDIA,2NVD,GBP
2PAL,WT PALLADIUM 2X DLY LVRGD,2PAL,USD
2UKL,WT FTSE 100 2X DLY LEVERAGED,2UKL,GBP
2UKS,WT FTSE 100 2X DAILY SHORT,2UKS,GBP
2VIS,LEVERAGE SHARES 2X VISA,2VIS,GBP
3BAL,WT EURO STX BNK 3X DLY LVRGD,3BAL,GBP
3BAS,WT EURO STX BNK 3X DLY SHORT,3BAS,GBP
3BLR,WT BRENT CRUDE 3X DLY LVRGD,3BLR,GBP
3BRL,WT BRENT CRUDE 3X DLY LVRGD,3BRL,USD
3BRS,WT BRENT CRUDE 3X DLY SHORT,3BRS,USD
3BSR,WT BRENT CRUDE 3X DLY SHORT,3BSR,GBP
3BTL,WT BTP 10Y 3X DLY LEVERAGED,3BTL,GBP
3BTS,WT BTP 10Y 3X DAILY SHORT,3BTS,GBP
3BUL,WT BUND 10Y 3X DLY LEVERAGED,3BUL,GBP
3BUS,WT BUND 10Y 3X DAILY SHORT,3BUS,GBP
3CFL,WT COFFEE 3X DAILY LEVERAGED,3CFL,USD
3DEL,WT DAX 30 3X DAILY LEVERAGED,3DEL,EUR
3DES,WT DAX 30 3X DAILY SHORT,3DES,EUR
3ELM,WT EM 3X DAILY LVRGD,3ELM,GBP
3EML,WT EM 3X DAILY LVRGD,3EML,USD
3EMS,WT EM 3X DAILY SHORT,3EMS,USD
3EUL,WT EURO STOXX50 3X DLY LVRGD,3EUL,EUR
3EUS,WT EURO STOXX50 3X DLY SHORT,3EUS,EUR
3GIL,WT GILTS 10Y 3X DLY LVRGD,3GIL,GBP
3GIS,WT GILTS 10Y 3X DAILY SHORT,3GIS,GBP
3GOL,WT GOLD 3X DAILY LEVERAGED,3GOL,USD
3GOS,WT GOLD 3X DAILY SHORT,3GOS,USD
3HCL,WT COPPER 3X DAILY LEVERAGED,3HCL,USD
3HCS,WT COPPER 3X DAILY SHORT,3HCS,USD
3IN,3I INFRASTRUCTURE PLC,3IN,GBP
3ITL,WT FTSE MIB 3X DLY LEVERAGED,3ITL,GBP
3ITS,WT FTSE MIB 3X DAILY SHORT,3ITS,GBP
3LDE,WT DAX 30 3X DAILY LEVERAGED,3LDE,GBP
3LES,WT EURO STOXX50 3X DLY SHORT,3LES,GBP
3LEU,WT EURO STOXX50 3X DLY LVRGD,3LEU,GBP
3LGO,WT GOLD 3X DAILY LEVERAGED,3LGO,GBP
