AACG,ATA CREATIVITY GLOBAL - ADR,AACG,USD
AAL,AMERICAN AIRLINES GROUP INC,AAL,USD
AAME,ATLANTIC AMERICAN CORP,AAME,USD
AAOI,APPLIED OPTOELECTRONICS INC,AAOI,USD
AAON,AAON INC,AAON,USD
AAPL,APPLE INC,AAPL,USD
AAWW,ATLAS AIR WORLDWIDE HOLDINGS,AAWW,USD
AAXJ,ISHARES MSCI ALL COUNTRY ASI,AAXJ,USD
AAXN,AXON ENTERPRISE INC,AAXN,USD
ABCB,AMERIS BANCORP,ABCB,USD
ABDC,ALCENTRA CAPITAL CORP,ABDC,USD
ABEO,ABEONA THERAPEUTICS INC,ABEO,USD
ABIL,ABILITY INC,ABIL,USD
ABIO,ARCA BIOPHARMA INC,ABIO,USD
ABMD,ABIOMED INC,ABMD,USD
ABTX,ALLEGIANCE BANCSHARES INC,ABTX,USD
ABUS,ARBUTUS BIOPHARMA CORP,ABUS,USD
ACAD,ACADIA PHARMACEUTICALS INC,ACAD,USD
ACAM,ACAMAR PARTNERS ACQUISITI- A,ACAM,USD
ACAMU,ACAMAR PARTNERS ACQUISITION,ACAMU,USD
ACBI,ATLANTIC CAPITAL BANCSHARES,ACBI,USD
ACER,ACER THERAPEUTICS INC,ACER,USD
ACGL,ARCH CAPITAL GROUP LTD,ACGL,USD
ACGLO,ARCH CAPITAL GROUP LTD,ACGLO,USD
ACGLP,ARCH CAPITAL GROUP LTD,ACGLP,USD
ACHC,ACADIA HEALTHCARE CO INC,ACHC,USD
ACHN,ACHILLION PHARMACEUTICALS,ACHN,USD
ACHV,ACHIEVE LIFE SCIENCES INC,ACHV,USD
ACIA,ACACIA COMMUNICATIONS INC,ACIA,USD
ACIU,AC IMMUNE SA,ACIU,USD
ACIW,ACI WORLDWIDE INC,ACIW,USD
ACLS,AXCELIS TECHNOLOGIES INC,ACLS,USD
ACMR,ACM RESEARCH INC-CLASS A,ACMR,USD
ACNB,ACNB CORP,ACNB,USD
ACOR,ACORDA THERAPEUTICS INC,ACOR,USD
ACRS,ACLARIS THERAPEUTICS INC,ACRS,USD
ACRX,ACELRX PHARMACEUTICALS INC,ACRX,USD
ACST,ACASTI PHARMA INC,ACST,USD
ACT,ADVISORSHARES VICE ETF,ACT,USD
ACTG,ACACIA RESEARCH CORP,ACTG,USD
ACTT,ACT II GLOBAL ACQUISITIO-A,ACTT,USD
ACTTU,ACT II GLOBAL ACQUISITION CO,ACTTU,USD
ACWI,ISHARES MSCI ACWI ETF,ACWI,USD
ACWX,ISHARES MSCI ACWI EX US ETF,ACWX,USD
ADAP,ADAPTIMMUNE THERAPEUTICS-ADR,ADAP,USD
ADBE,ADOBE INC,ADBE,USD
ADES,ADVANCED EMISSIONS SOLUTIONS,ADES,USD
ADI,ANALOG DEVICES INC,ADI,USD
ADIL,ADIAL PHARMACEUTICALS INC,ADIL,USD
ADMA,ADMA BIOLOGICS INC,ADMA,USD
ADMP,ADAMIS PHARMACEUTICALS CORP,ADMP,USD
ADMS,ADAMAS PHARMACEUTICALS INC,ADMS,USD
ADP,AUTOMATIC DATA PROCESSING,ADP,USD
ADPT,ADAPTIVE BIOTECHNOLOGIES,ADPT,USD
ADRA,INVESCO BLDRS ASIA 50 ADR IN,ADRA,USD
ADRD,INVESCO BLDRS DEVELOPED MARK,ADRD,USD
ADRE,INVESCO BLDRS EMERGING MARKE,ADRE,USD
ADRO,ADURO BIOTECH INC,ADRO,USD
ADRU,INVESCO BLDRS EUROPE SELECT,ADRU,USD
ADSK,AUTODESK INC,ADSK,USD
ADTN,ADTRAN INC,ADTN,USD
ADUS,ADDUS HOMECARE CORP,ADUS,USD
ADVM,ADVERUM BIOTECHNOLOGIES INC,ADVM,USD
ADXS,ADVAXIS INC,ADXS,USD
AEGN,AEGION CORP,AEGN,USD
AEHR,AEHR TEST SYSTEMS,AEHR,USD
AEIS,ADVANCED ENERGY INDUSTRIES,AEIS,USD
AEMD,AETHLON MEDICAL INC,AEMD,USD
AERI,AERIE PHARMACEUTICALS INC,AERI,USD
AESE,ALLIED ESPORTS ENTERTAINMENT,AESE,USD
AEY,ADDVANTAGE TECHNOLOGIES GRP,AEY,USD
AEYE,AUDIOEYE INC,AEYE,USD
AEZS,AETERNA ZENTARIS INC,AEZS,USD
AFH,ATLAS FINANCIAL HOLDINGS INC,AFH,USD
AFIN,AMERICAN FINANCE TRUST INC,AFIN,USD
AFINP,AMERICAN FINANCE TRUST,AFINP,USD
AFMD,AFFIMED NV,AFMD,USD
AFYA,AFYA LTD-CLASS A,AFYA,USD
AGBA,AGBA ACQUISITION LTD,AGBA,USD
AGBAR,AGBA ACQUISITION LTD-RIGHTS,AGBAR,USD
AGBAU,AGBA ACQUISITION LTD,AGBAU,USD
AGEN,AGENUS INC,AGEN,USD
AGFS,AGROFRESH SOLUTIONS INC,AGFS,USD
AGIO,AGIOS PHARMACEUTICALS INC,AGIO,USD
AGLE,AEGLEA BIOTHERAPEUTICS INC,AGLE,USD
AGMH,AGM GROUP HOLDINGS INC,AGMH,USD
AGNC,AGNC INVESTMENT CORP,AGNC,USD
AGNCB,AMERICAN CAPITAL AGENCY,AGNCB,USD
AGNCM,AGNC INVESTMENT CORP,AGNCM,USD
AGNCN,ANGC 7 PERP PFD,AGNCN,USD
AGNCO,AGNC INVESTMENT CORP,AGNCO,USD
AGND,WISDOMTREE TRUST WISDOMTREE,AGND,USD
AGRX,AGILE THERAPEUTICS INC,AGRX,USD
AGTC,APPLIED GENETIC TECHNOLOGIES,AGTC,USD
AGYS,AGILYSYS INC,AGYS,USD
AGZD,WISDOMTREE TRUST WISDOMTREE,AGZD,USD
AHPI,ALLIED HEALTHCARE PRODUCTS,AHPI,USD
