20MICRONS,20 MICRONS LIMITED,20MICRONS,INR
21STCENMG,TWENTYFIRST CENTURY MANAGEMT,21STCENMGM,INR
3IINFOTEC,3I INFOTECH LIMITED,3IINFOTECH,INR
3MINDIA,3M INDIA LTD,3MINDIA,INR
3PLAND,3P LAND HOLDINGS LIMITED,3PLAND,INR
5PAISA,5 PAISA CAPITAL LIMITED,5PAISA,INR
63MOONS,63 MOONS TECHNOLOGIES LTD,63MOONS,INR
A2ZINFRA,A2Z INFRA ENGINEERING LTD,A2ZINFRA,INR
AAKASH,AAKASH EXPLORATION SERVICES,AAKASH_SM,INR
AARON,AARON INDUSTRIES LTD,AARON_SM,INR
AARTIDRUG,AARTI DRUGS LIMITED,AARTIDRUGS,INR
AARTIIND,AARTI INDUSTRIES LIMITED,AARTIIND,INR
AARVEEDEN,AARVEE DENIMS &amp; EXPORTS LTD,AARVEEDEN,INR
AARVI,AARVI ENCON LTD,AARVI_SM,INR
AAVAS,AAVAS FINANCIERS LTD,AAVAS,INR
ABAN,ABAN OFFSHORE LIMITED,ABAN_BE,INR
ABB,ABB INDIA LTD,ABB,INR
ABBOTINDI,ABBOTT INDIA LTD,ABBOTINDIA,INR
ABCAPITAL,ADITYA BIRLA CAPITAL LIMITED,ABCAPITAL,INR
ABFRL,ADITYA BIRLA FASHION AND RET,ABFRL,INR
ABINFRA,AB INFRABUILD LTD,ABINFRA_SM,INR
ABMINTLTD,ABM INTERNATIONAL LTD,ABMINTLTD_BE,INR
ABSLNN50E,ABSL NIFTY NEXT 50 ETF,ABSLNN50ET,INR
ACC,ACC LIMITED,ACC,INR
ACCELYA,ACCELYA SOLUTIONS INDIA LTD,ACCELYA,INR
ACCORD,ACCORD SYNERGY LTD,ACCORD_SM,INR
ACCURACY,ACCURACY SHIPPING LTD,ACCURACY_SM,INR
ACE,ACTION CONSTRUCTION EQUIPMEN,ACE,INR
ACEINTEG,ACE INTEGRATED SOLUTIONS LTD,ACEINTEG_SM,INR
ADANIENT,ADANI ENTERPRISES LTD,ADANIENT,INR
ADANIGAS,ADANI GAS LIMITED,ADANIGAS,INR
ADANIGREE,ADANI GREEN ENERGY LTD,ADANIGREEN,INR
ADANIPORT,ADANI PORTS AND SPECIAL ECON,ADANIPORTS,INR
ADANIPOWE,ADANI POWER LIMITED,ADANIPOWER,INR
ADANITRAN,ADANI TRANSMISSION LTD,ADANITRANS,INR
ADFFOODS,ADF FOODS LTD,ADFFOODS,INR
ADHUNIK,ADHUNIK METALIKS LTD,ADHUNIK_BZ,INR
ADHUNIKIN,ADHUNIK INDUSTRIES LTD,ADHUNIKIND,INR
ADLABS,ADLABS ENTERTAINMENT LTD,ADLABS,INR
ADORWELD,ADOR WELDING LTD,ADORWELD,INR
ADROITINF,ADROIT INFOTECH LTD,ADROITINFO_BE,INR
ADSL,ALLIED DIGITAL SERVICES LTD,ADSL,INR
ADVANIHOT,ADVANI HOTELS &amp; RES (INDIA),ADVANIHOTR,INR
ADVENZYME,ADVANCED ENZYME TECHNOLOGIES,ADVENZYMES,INR
AEGISCHEM,AEGIS LOGISTICS LTD,AEGISCHEM,INR
AFFLE,AFFLE INDIA LTD,AFFLE,INR
AGARIND,AGARWAL INDUSTRIAL CORPORATI,AGARIND,INR
AGCNET,AGC NETWORKS LIMITED,AGCNET_BE,INR
AGRITECH,AGRI-TECH INDIA LIMITED,AGRITECH,INR
AGROPHOS,AGRO PHOS INDIA LTD,AGROPHOS,INR
AHIMSA,AHIMSA INDUSTRIES LTD,AHIMSA_SM,INR
AHLADA,AHLADA ENGINEERS LTD,AHLADA_SM,INR
AHLEAST,ASIAN HOTELS EAST LTD,AHLEAST,INR
AHLUCONT,AHLUWALIA CONTRACTS LTD,AHLUCONT,INR
AHLWEST,ASIAN HOTELS WEST LTD,AHLWEST,INR
AIAENG,AIA ENGINEERING LTD,AIAENG,INR
AIONJSW,MONNET ISPAT &amp; ENERGY LTD,AIONJSW,INR
AIRAN,AIRAN LTD,AIRAN,INR
AIROLAM,AIRO LAM LTD,AIROLAM_SM,INR
AISL,ANI INTEGRATED SERVICES LTD,AISL_SM,INR
AJANTPHAR,AJANTA PHARMA LTD,AJANTPHARM,INR
AJMERA,AJMERA REALTY &amp; INFRA INDIA,AJMERA,INR
AJOONI,AJOONI BIOTECH LTD,AJOONI_SM,INR
AKASH,AKASH INFRA-PROJECTS LTD,AKASH,INR
AKG,AKG EXIM LTD,AKG_SM,INR
AKSHARCHE,AKSHARCHEM INDIA LTD,AKSHARCHEM,INR
AKSHOPTFB,AKSH OPTIFIBRE LIMITED,AKSHOPTFBR,INR
AKZOINDIA,AKZO NOBEL INDIA LTD,AKZOINDIA,INR
ALANKIT,ALANKIT LTD,ALANKIT,INR
ALBERTDAV,ALBERT DAVID LTD,ALBERTDAVD,INR
ALBK,ALLAHABAD BANK,ALBK,INR
ALCHEM,ALCHEMIST LTD,ALCHEM_BE,INR
ALEMBICLT,ALEMBIC LIMITED,ALEMBICLTD,INR
ALICON,ALICON CASTALLOY LIMITED,ALICON,INR
ALKALI,ALKALI METALS LIMITED,ALKALI,INR
ALKEM,ALKEM LABORATORIES LTD,ALKEM,INR
ALKYLAMIN,ALKYL AMINES CHEMICALS LTD,ALKYLAMINE,INR
ALLCARGO,ALLCARGO LOGISTICS LTD,ALLCARGO,INR
ALLSEC,ALLSEC TECHNOLOGIES LIMITED,ALLSEC,INR
ALMONDZ,ALMONDZ GLOBAL SECURITIES LT,ALMONDZ,INR
ALOKTEXT,ALOK INDUSTRIES LTD,ALOKTEXT,INR
ALPA,ALPA LABORATORIES LIMITED,ALPA,INR
ALPHAGEO,ALPHAGEO (INDIA) LIMITED,ALPHAGEO,INR
AMARAJABA,AMARA RAJA BATTERIES LTD,AMARAJABAT,INR
AMBANIORG,AMBANI ORGANICS LTD,AMBANIORG_SM,INR
AMBER,AMBER ENTERPRISES INDIA LTD,AMBER,INR
AMBIKCO,AMBIKA COTTON MILLS LTD,AMBIKCO,INR
AMBUJACEM,AMBUJA CEMENTS LIMITED,AMBUJACEM,INR
AMDIND,AMD INDUSTRIES LIMITED,AMDIND,INR
AMJLAND,AMJ LAND HOLDINGS LIMITED,AMJLAND,INR
AMJUMBO,A&amp;M JUMBO BAGS LTD,AMJUMBO_SM,INR
AMRUTANJA,AMRUTANJAN HEALTH CARE LTD,AMRUTANJAN,INR
ANANTRAJ,ANANT RAJ LTD,ANANTRAJ,INR
ANDHRABAN,ANDHRA BANK,ANDHRABANK,INR
ANDHRACEM,ANDHRA CEMENTS LTD,ANDHRACEMT_BE,INR
ANDHRSUGA,ANDHRA SUGARS LTD,ANDHRSUGAR,INR
ANIKINDS,ANIK INDUSTRIES LIMITED,ANIKINDS,INR
ANSALAPI,ANSAL PROPERTIES &amp; INFRASTRU,ANSALAPI,INR
ANSALHSG,ANSAL HOUSING LTD,ANSALHSG,INR
ANTGRAPHI,ANTARCTICA LTD,ANTGRAPHIC_BE,INR
ANUP,ANUP ENGINEERING LIMITED/THE,ANUP,INR
APARINDS,APAR INDUSTRIES LIMITED,APARINDS,INR
APCL,ANJANI PORTLAND CEMENT LTD,APCL,INR
APCOTEXIN,APCOTEX INDUSTRIES LTD,APCOTEXIND,INR
APEX,APEX FROZEN FOODS LTD,APEX,INR
APLAPOLLO,APL APOLLO TUBES LTD,APLAPOLLO,INR
APLLTD,ALEMBIC PHARMACEUTICALS LTD,APLLTD,INR
APOLLO,APOLLO MICRO SYSTEMS LTD,APOLLO,INR
APOLLOHOS,APOLLO HOSPITALS ENTERPRISE,APOLLOHOSP,INR
APOLLOTYR,APOLLO TYRES LIMITED,APOLLOTYRE,INR
APOLSINHO,APOLLO SINDOORI HOTELS LTD,APOLSINHOT,INR
APTECHT,APTECH LTD,APTECHT,INR
ARCHIDPLY,ARCHIDPLY INDUSTRIES LIMITED,ARCHIDPLY,INR
ARCHIES,ARCHIES LTD,ARCHIES_BE,INR
ARCOTECH,ARCOTECH LTD,ARCOTECH_BE,INR
ARENTERP,RAJDARSHAN INDUSTRIES LTD,ARENTERP,INR
ARIES,ARIES AGRO LIMITED,ARIES,INR
ARIHANT,ARIHANT FOUNDATIONS &amp; HOUSIN,ARIHANT,INR
ARIHANTSU,ARIHANT SUPERSTRUCTURES LTD,ARIHANTSUP_BE,INR
ARMANFIN,ARMAN FINANCIAL SERVICES LTD,ARMANFIN,INR
AROGRANIT,ARO GRANITE INDUSTRIES LTD,AROGRANITE,INR
ARROWGREE,ARROW GREENTECH LTD,ARROWGREEN,INR
ARROWTEX,ARROW TEXTILES LTD,ARROWTEX,INR
ARSHIYA,ARSHIYA LTD,ARSHIYA,INR
ARSSINFRA,ARSS INFRASTRUCTURE PROJECTS,ARSSINFRA,INR
ARTEDZ,ARTEDZ FABS LTD,ARTEDZ_SM,INR
ARTNIRMAN,ART NIRMAN LTD,ARTNIRMAN_SM,INR
ARVEE,ARVEE LABORATORIES INDIA LTD,ARVEE_SM,INR
ARVIND,ARVIND LTD,ARVIND,INR
ARVINDFAS,ARVIND FASHIONS LIMITED,ARVINDFASN,INR
ARVSMART,ARVIND SMARTSPACES LIMITED,ARVSMART,INR
ASAHIINDI,ASAHI INDIA GLASS LTD,ASAHIINDIA,INR
ASAHISONG,ASAHI SONGWON COLORS LIMITED,ASAHISONG,INR
ASAL,AUTOMOTIVE STAMPINGS &amp; ASSEM,ASAL,INR
ASHAPURMI,ASHAPURA MINECHEM LIMITED,ASHAPURMIN_BE,INR
ASHIANA,ASHIANA HOUSING LTD,ASHIANA,INR
ASHIMASYN,ASHIMA LIMITED,ASHIMASYN,INR
ASHOKA,ASHOKA BUILDCON LTD,ASHOKA,INR
